,name,price,url,description,Alcohol percentage,Bottle volume ml,Brand,Gift box,Country of origin,Type,Vintage,years old,brand_match,brand_match2,missing_brands
154,Cragganmore 43 Year 700ml w/Wooden Gift Box,5555,https://www.paneco.com.sg/products/cragganmore-43-year-single-malt-700ml-w-wooden-gift-box,"
                  Cragganmore 43 Years Old is the oldest Cragganmore ever released by the original distiller, and Diageo believe it to be the oldest bottled as a single malt. From a hand-selected single cask release, just 474 bottles were produced and they are available exclusively in Paneco.com.
                ",47.4,700ml,cragganmore,Yes,Scotland,,,43 Year,-,-,cragganmore
155,Craigellachie 13 Year Single Malt 1L w/Gift Box,149.95,https://www.paneco.com.sg/products/craigellachie-13-year-single-malt-1l-w-gift-box,"
                  Craigellachie 13 is matured in a mixture of ex-bourbon and ex-sherry casks. The bourbon casks bring vanilla, toffee and fudge notes to the fore, and the sherry casks provide richness and complexity.
                ",46,1000ml,craigellachie,Yes,Scotland,,,13 Year,-,-,craigellachie
156,Craigellachie 13 Year Single Malt 700ml w/Gift Box,108.95,https://www.paneco.com.sg/products/craigellachie-13-year-single-malt-700ml-w-gift-box,"
                  Craigellachie 13 comes with abit of everything, from dynamic fruit on the entry to touches of smoke, cream and oak on the finish. Bottled at 46% and non chillfiltered. 
                ",46,700ml,craigellachie,Yes,Scotland,,,13 Year,-,-,craigellachie
157,Craigellachie 17 Year Single Malt 700ml w/Gift Box,224.95,https://www.paneco.com.sg/products/craigellachie-17-year-single-malt-700ml-w-gift-box,"
                  A highly rated 17 year old from Craigellachie. The distillery has some traditional worm tub condensers which are said to enhance the richness and complexity of the whisky. A fruity, full bodied and slightly smoky single malt. 
                ",46,700ml,craigellachie,Yes,Scotland,,,17 Year,-,-,craigellachie
158,Crown Royal Black 1L,99.55,https://www.paneco.com.sg/products/crown-royal-black-1l,"
                  Crown Royal Black is a rich and flavorful blend of Canadian whisky. All the signature smoothness of Crown Royal, matured in charred oak barrels and blended at a higher proof for a richer texture and bold finish.
                ",45,1000ml,crown royal,No,Canada,,,,-,-,crown royal
159,Crown Royal Canadian Whisky 1L w/Gift Box,99.95,https://www.paneco.com.sg/products/crown-royal-canadian-whisky-1l-w-gift-box,"
A whiskey composed of a blend of about 50 different types of whiskey. The beverage is aged in white oak barrels and is diluted with the pure water of Winnipeg lake, that is located next to the distillery. Its flavor is light and refined relatively to other whiskey brands, and it is smooth and fruity. Crown Royal is the most exquisite and famous Canadian whiskey brand in the world.
                ",40,1000ml,crown royal,Yes,Canada,,,,-,-,crown royal
160,Crown Royal Canadian Whisky 750ml,74.5,https://www.paneco.com.sg/products/crown-royal-canadian-whisky-750ml,"
                  A whiskey composed of a blend of about 50 different types of whiskey. The beverage is aged in white oak barrels and is diluted with the pure water of Winnipeg lake, that is located next to the distillery. Its flavor is light and refined relatively to other whiskey brands, and it is smooth and fruity. Crown Royal is the most exquisite and famous Canadian whiskey brand in the world.
                ",40,750ml,crown royal,No,Canada,,,,-,-,crown royal
161,Crown Royal Northern Harvest Rye 1L w/Gift Box,94.95,https://www.paneco.com.sg/products/crown-royal-northern-harvest-rye-1l-w-gift-box,"
                  Crown Royal Northern Harvest Rye combines the distinctive flavor of Canadian rye grain with the unmistakable smoothness of Crown Royal for a truly exceptional Canadian whisky.
Crown Royal Northern Harvest Rye is the first Canadian Whisky to earn World Whisky of the Year in Jim Murray’s Annual Whisky Bible 2016.
                ",45,1000ml,crown royal,Yes,Canada,,,,-,-,crown royal
162,Crown Royal Regal Apple 1L,89,https://www.paneco.com.sg/products/crown-royal-regal-apple-1l,"
                  To create this extraordinary blend, Crown Royal whiskies are hand-selected by our master whisky blenders and infused with Regal Gala Apples and apple flavors. The result is a delicious Canadian whisky balanced with notes of crisp apple flavor.
                ",35,1000ml,crown royal,No,Canada,,,,-,-,crown royal
163,Crown Royal Reserve 750ml,84.5,https://www.paneco.com.sg/products/crown-royal-reserve-750ml,"
                  Master Whisky Blenders have hand selected the whiskies with the body and taste that were necessary for achieving the exceptional depth of Crown Royal Reserve. The end result is their gift to Crown Royal enthusiasts: a creamy, rich, reserve-grade blend, flush with sharp clove, and cinnamon top points of rye.

                ",40,750ml,crown royal,No,Canada,,,,-,-,crown royal
164,Dalmore 12 Year Single Malt 700ml w/Gift Box,118,https://www.paneco.com.sg/products/dalmore-12-year-single-malt-700ml-w-gift-box,"
                  Matured for an initial nine years in American white oak ex-bourbon casks, the spirit is then divided for its final flourish. One half remains in the bourbon barrels, while the other is transferred to exclusive 30 year old Gonzalez Byass Matusalem oloroso sherry butts before they are reunited to create this phenomenal whisky
                ",40,700ml,dalmore,Yes,Scotland,,,12 Year,the dalmore,dalmore,
165,Dalmore 15 Year Single Malt 700ml w/Gift Box,163.8,https://www.paneco.com.sg/products/dalmore-15-year-single-malt-700ml-w-gift-box,"
The Dalmore 15 year old is smooth, rich and well rounded; the epitome of The Dalmore house style.This delicate and approachable vintage is initially matured for 12 years in American white oak ex-bourbon casks. The character of The Dalmore 15 is achieved by then splitting the whisky equally between three different sherry woods; Amoroso, Apostoles and Matusalem oloroso for a further three years. The spirit is finally married together in an upstanding sherry butt, allowing the flavours to infuse.
                ",40,700ml,dalmore,Yes,Scotland,,,15 Year,the dalmore,dalmore,
166,Dalmore 18 Year Single Malt 700ml w/Gift Box,227.5,https://www.paneco.com.sg/products/dalmore-18-year-single-malt-700ml-w-gift-box,"
An evolution of The Dalmore house style, this 18-year-old expression harnesses bolder notes. A robust and formidable whisky, The Dalmore 18 year old showcases the result of extended maturation and the influence of the wood.
Matured initially for 14 years in American white oak ex-bourbon casks, the spirit is then transferred to 30-year-old Matusalem oloroso sherry butts for a further four years. These sherry butts from the world-renowned sherry house Gonzalez Byass are selected exclusively for The Dalmore.
",43,700ml,dalmore,Yes,Scotland,,,18 Year,the dalmore,dalmore,
167,Dalmore 21 Year Single Malt 700ml w/Gift Box,882,https://www.paneco.com.sg/products/dalmore-21-year-single-malt-700ml-w-gift-box,"
                  The 2015 limited-edition bottling of Dalmore 21 Year Old was aged initially in American white oak before being finished in first-fill oloroso sherry for the final decade.
                ",42,700ml,dalmore,Yes,Scotland,,,21 Year,the dalmore,dalmore,
168,Dalmore Cigar Single Malt 1L,208,https://www.paneco.com.sg/products/dalmore-cigar-single-malt-1l,"
                  The perfect accompaniment to the finest cigars, this single malt is matured in American white oak ex-bourbon casks, Matusalem oloroso sherry casks and Cabernet Sauvignon barriques. Aromas of cinnamon, vanilla and red fruits, with tropical fruits, banana toffee and vanilla ice cream on the palate. Finishing notes of orange zest, dark chocolate and crushed spices. 
                ",44,1000ml,dalmore,No,Scotland,,,,the dalmore,dalmore,
169,Dalmore Dominium Single Malt 700ml w/Gift Box,168.95,https://www.paneco.com.sg/products/dalmore-dominium-single-malt-700ml-w-gift-box,"
The Dalmore Dominium is a spectacularly flavourful whisky matured in American ex-Bourbon casks and finished in Matusalem Sherry casks. These first fill Sherry casks held the finest Oloroso for a minimum of 30 years before imparting rich and complex flavours to the maturing whisky.The result is a luxurious and decadent single malt, with Dalmore’s signature dark fruit flavours and sweet spice.
                ",43,700ml,dalmore,Yes,Scotland,,,,the dalmore,dalmore,
170,Dalmore King Alexander III Single Malt 700ml w/Gift Box,298,https://www.paneco.com.sg/products/the-dalmore-king-alexander-iii-single-malt-700ml-w-gift-box,"
In 1263, Colin of Kintail, Chief of the Clan Mackenzie, took a bold decision to stand up and be counted, and felled a charging stag which attacked King Alexander III of Scotland. In return for saving his life, the grateful King gifted the 12-pointed Royal Stag emblem to the Mackenzie Clan as a reward.When descendants of the Mackenzie Clan took over the ownership of The Dalmore distillery in 1867, they continued to honour this brave act and proudly put the 12-pointed Royal Stag on the bottle. To this day, the Stag still adorns each and every bottle of The Dalmore.To celebrate the pioneering and innovative values of the Mackenzie Clan, their Master Distiller has painstakingly created the only single malt in the world to unite a unique six cask finish for one outstanding achievement. Spirits matured in ex-bourbon casks, Matusalem oloroso sherry butts, Madeira barrels, Marsala casks, Port pipes and Cabernet Sauvignon wine barriques are combined in perfect harmony to create a uniquely complex, yet smooth single malt. This is the embodiment of brave creativity and a lifetime’s experience.
                ",40,700ml,dalmore,Yes,Scotland,,,,the dalmore,dalmore,
171,Dalmore Luceo Single Malt 700ml w/Gift Box,148,https://www.paneco.com.sg/products/dalmore-luceo-single-malt-700ml-w-gift-box,"
This is a Travel Retail Exclusive product. It was originally part of the Fortuna Merita Collection. , 'Luceo' is one of several finished in different types of Sherry casks - this one in first fill Apostoles Sherry from Gonzalez Byass, resulting in extra sweetness.It has been matured in sherry casks and features notes of cherry, toffee, nuts and ginger.
                ",40,700ml,dalmore,Yes,Scotland,,,,the dalmore,dalmore,
172,Dalmore Port Wood Reserve Single Malt 700ml w/Gift Box,159.95,https://www.paneco.com.sg/products/dalmore-port-wood-reserve-single-malt-700ml-w-gift-box,"
An indulgent smooth single malt matured in American white oak ex-bourbon casks and aged Tawny Port pipes.The fruit of Dalmore's experiments with casks from around the world, this port wood reserve marries Dalmore's weighty whisky with thick port-cask fruit and spice.
",46.5,700ml,dalmore,Yes,Scotland,,,,the dalmore,dalmore,
173,Dalmore Regalis Single Malt 1L w/Gift Box,154.5,https://www.paneco.com.sg/products/dalmore-regalis-single-malt-1l-w-gift-box,"
Dalmore Regalis is part of the Fortuna Meritas Collection. Drawing its name from the Latin for ‘regal’ or ‘royal’, the bottling is a combination of American white and first fill amoroso sherry casks. Amoroso is a type of oloroso sherry that has been enriched (sweetened).
                ",40,1000ml,dalmore,Yes,Scotland,,,,the dalmore,dalmore,
174,Dalmore Trio 1L Single Malt w/Gift Box,144.5,https://www.paneco.com.sg/products/dalmore-trio-1l-single-malt-w-gift-box,"
                  Captivating Single Malt assembled with 3 cask finishes: full, rich, with great charm. Bursting with ripe plums and berries with hints of sweet spices. Beautifully orchestrating the influences of first fill ex-bourbon, aged Tawny Port (10 years old) and exclusive Matusalem sherry cask (30 years old) finishes
                ",40,1000ml,dalmore,Yes,Scotland,,,,the dalmore,dalmore,
175,Dalwhinnie 15 Year 700ml w/Gift Box,98.9,https://www.paneco.com.sg/products/dalwhinnie-15-year-single-malt-w-700ml-gift-box,"
Launched in 1897 – when the distillery was established. It is a perfect Highland Single Malt Scotch Whisky – a resilient marriage of Speyside heather-honey sweetness and Lowland intensity.Dalwhinnie is made in the highest working distillery in Scotland at an altitude of 1,173 feet (357.5m) with stream water that flows from mountain lochs. It is produced in one of the coldest inhabited places in Scotland, with a recorded average annual temperature of 6C in 1994.
                ",43,700ml,dalwhinnie,Yes,Scotland,,,15 Year,-,-,dalwhinnie
176,Dalwhinnie 25 Year 750ml,639.99,https://www.paneco.com.sg/products/dalwhinnie-25-year-single-malt-750ml,"
                  From the highest, coldest distillery in Scotland comes a creamy, aromatic, and crisply-focused Dalwhinnie. Drier and less honeyed than you may expect, it drinks very well, both straight and with a little water.
                ",48.8,750ml,dalwhinnie,No,Scotland,,,25 Year,-,-,dalwhinnie
177,Dalwhinnie Winter's Frost - Game of Thrones House Stark 700ml w/Gift box,84.9,https://www.paneco.com.sg/products/dalwhinnie-winters-frost-game-of-thrones-house-stark-700ml-w-gift-box,"
                  Dalwhinnie, known for being one of the highest distilleries in all of Scotland is cold and remote much like The North where House Stark calls home, making the two an iconic pairing.
                ",43,700ml,dalwhinnie,Yes,Scotland,,,,-,-,dalwhinnie
178,Deanston 15 Year 700ml w/Gift Box,174,https://www.paneco.com.sg/products/deanston-15-year-single-malt-700ml-w-gift-box,"
Certified Organic from start to finish, by the Organic Food Federation, Deanston only use organic barley with no pesticides or fertilizers, malted organically and batch production to ensure no carryover.It is a deliciously easy-going whisky, this organic 15-year-old is matured in American oak for gently-spiced and notably-honeyed profile.
                ",46.3,700ml,deanston,Yes,Scotland,,,15 Year,-,-,deanston
179,Deanston 18 Year 700ml w/Gift Box,244.5,https://www.paneco.com.sg/products/deanston-18-year-single-malt-700ml-w-gift-box,"
                  Deanston 18 Year was rounded off by a finishing period in first fill bourbon casks. Non chill filtered and bottled at proper strength: 46.3% ABV. Expect a richer distillery expression, amplified in every way.
                ",46.3,700ml,deanston,Yes,Scotland,,,18 Year,-,-,deanston
180,Deanston Virgin Oak 700ml w/Gift Box,79.5,https://www.paneco.com.sg/products/deanston-virgin-oak-single-malt-700ml-w-gift-box,"
                  The Deanston Virgin Oak is a delightfully sweet taste, evoking memories of candied fruits and vanilla, toffee, balanced with heather honey and a lightly spiced, oaky finish.
                ",46.3,700ml,deanston,Yes,Scotland,,,,-,-,deanston
181,Dewar's 12 Year 750ml,59.95,https://www.paneco.com.sg/products/dewars-12-year-750ml,"
A direct descendant of the signature Blended Scotch Whisky introduced over a century ago. This whisky was created by the previous Master Blender to introduce the first permanent product to their premium Blended Scotch Whisky range.Dewar's 12 year old blend, called 'Double Aged' due to the 6 months of marrying in oak casks that the whisky does after initial maturation and blending.
                ",40,750ml,dewar's,No,Scotland,,,12 Year,dewar's,dewar's,
182,Dewar's White Label 1L,64.5,https://www.paneco.com.sg/products/dewars-white-label-1l,"
                  Founded by John Dewar in 1846. Single malt and grain whiskies are blended together, placed back into oak casks and get to know each other.
                ",40,1000ml,dewar's,No,Scotland,,,,dewar's,dewar's,
183,Dewars White Label 750ml,47.8,https://www.paneco.com.sg/products/dewars-white-label-750ml,"
                  Founded by John Dewar in 1846. Single malt and grain whiskies are blended together, placed back into oak casks and get to know each other.
                ",40,750ml,dewar's,No,Scotland,,,,dewar's,dewar's,
184,Edradour 10 Year 700ml w/Gift Box,114.95,https://www.paneco.com.sg/products/edradour-10-year-700ml-w-gift-box,"
Edradour 10 Year is handmade and one of the last Single Malt Whiskies from a traditional farm distillery still in production today. The methods of production remain virtually unchanged in the last 150 years and are only just capable of commercial quantities. Indeed Edradour Distillery makes as much whisky in a year as most distilleries produce in a week. A rare pleasure for a fortunate few.Aged in a combination of Oloroso Sherry and Bourbon casks. Chillfiltered at 40% ABV.Edradour, world renowned as the smallest traditional distillery in Scotland and arguably the most unique. Dating back to 1825, Edradour, stands alone as the last stronghold of handmade single malt whisky from a farm distillery still in production today.
                ",40,700ml,edradour,Yes,Scotland,,,10 Year,-,-,edradour
185,Edradour Caledonia 12 Year 700ml w/Gift Box,137.5,https://www.paneco.com.sg/products/edradour-caledonia-12-year-700ml-w-gift-box,"
Caledonia Edradour is a unique single cask release, chosen by songwriter Dougie Maclean and named after his famous song, Caledonia. This handmade single malt is bottled in a small batch.“I wrote Caledonia, in 1977 on a beach in Brittany, France, when I was genuinely homesick for Scotland. My life has always been based in Perthshire. For me, the location of Edradour, with its neat cluster of whitewashed buildings, traditional equipment and employment of ancient methods of making single malt whisky, combined with its state of the art bottling facility, typify Caledonia. So it is great to be joining forces with Andrew Symington and Edradour Distillery, to bring you this wonderfully rich and complex 12 year old single malt.” Dougie MacleanAt a strength of 46% ABV and non chill-filtered, Caledonia retains maximum flavour with great depth and body. Initial aging in Bourbon casks followed by an Oloroso Finish of 4-5 years. A traditional whisky for those looking for how whisky used to be made. 
                ",46,700ml,edradour,Yes,Scotland,,,12 Year,-,-,edradour
186,Elijah Craig Small Batch 750ml,88.95,https://www.paneco.com.sg/products/elijah-craig-small-batch-750ml,"
                  Elijah Craig Signature Small Batch owes its distinctive warm spice & subtle smoke flavor to Level 3 charred oak barrels. Handcrafted by Master Distillers, it’s a favorite of Bourbon connoisseurs and casual whiskey fans alike.
                ",47,750ml,elijah craig,No,United States,,,,-,-,elijah craig
187,Evan Williams Black Label 1L,87.5,https://www.paneco.com.sg/products/evan-williams-black-label-1l,"
Evan Williams is a smooth, easy to drink Bourbon named after Evan Williams who, in 1783, opened Kentucky’s first commercial distillery along the banks of the Ohio River. Many years and barrels later, we’re still producing Bourbon with the same time-honored methods that Evan Williams did years ago.Today, Evan Williams is the second largest selling Kentucky Straight Bourbon Whiskey in the US and the world, distilled just a few blocks from the site where Evan himself built his distillery.
                ",43,1000ml,evan williams,No,United States,Bourbon,,,-,-,evan williams
188,Evan Williams Black Label 750ml,57.9,https://www.paneco.com.sg/products/evan-williams-black-label-750ml,"
Evan Williams is a smooth, easy to drink Bourbon named after Evan Williams who, in 1783, opened Kentucky’s first commercial distillery along the banks of the Ohio River. Many years and barrels later, we’re still producing Bourbon with the same time-honored methods that Evan Williams did years ago. Today, Evan Williams is the second largest selling Kentucky Straight Bourbon Whiskey in the US and the world, distilled just a few blocks from the site where Evan himself built his distillery. Evan Williams Black is 86 proof and aged far longer than we are required to by law. That proof and age leads to a Bourbon that we are proud of, made our way, and that is always rich, smooth, and full of character.
                ",43,750ml,evan williams,No,United States,Bourbon,,,-,-,evan williams
189,Evan Williams Single Barrel Vintage 2011,82.5,https://www.paneco.com.sg/products/evan-williams-single-barrel-vintage-2011,"
                  Hand-numbered with barrel number, barreled on and bottled on dates. Delicate amber gold color. Aromas of dark caramel, sweet oak and vanilla. Lush and spicy palate with oak, honey and vanilla notes. A long, graceful and relaxed finish.
                ",43.3,750ml,evan williams,No,United States,Bourbon,,,-,-,evan williams
190,Famous Grouse 1L,67.65,https://www.paneco.com.sg/products/famous-grouse-1l,"
                  Blending premium whisky isn’t just something The Famous Grouse does, it has been the foundation of their craft since 1800. They bring together the finest ingredients to create a natural spirit before the passing of time imparts the wonderful flavour from their handcrafted casks. Adding to this, the fusion of skilled craftsmen and a tenacious obsession with quality and you will arrive at their Famous, rich, sweet, well-rounded whisky.
                ",40,1000ml,famous grouse,No,Ireland,,,,famous grouse,famous grouse,
191,Famous Grouse Bourbon Cask Whisky 1L,77.9,https://www.paneco.com.sg/products/famous-grouse-bourbon-cask-whisky-1l,"
                  Bourbon Cask is a famously delicious blend with a layer of vanilla and caramel sweetness. Made with whiskies mostly aged in American oak, including first fill bourbon casks, this bright and pale golden whisky has a fragrantly sweet finish that can be enjoyed neat or with a mixer to bring out the caramel notes. Bourbon Cask offers hints of caramel, fragrant and slight honey, with tastes of vanilla ice cream, toatsted coconut, and citrus peel. This whisky finishes sweet and soft. 
                ",40,1000ml,famous grouse,No,Scotland,,,,famous grouse,famous grouse,
192,Famous Grouse Mellow Gold Whisky 1L,77.9,https://www.paneco.com.sg/products/famous-grouse-mellow-gold-whisky-1l,"
                  The Famous Grouse Mellow Gold blends whiskies from rare, handcrafted Spanish sherry casks and charred American oak bourbon casks to arrive at a distinctly smooth, mellow character and rich depth of flavour. Explore a sweeter side to our Famous whisky. Rich and honey-golden, clear and bright, this whisky offers aromas of orange peel and vanilla, perfumed with a hint of lychee. A spicy whisky, with creme brulee, orange bitters, and cedar, finishing on lemon peel with lingering spiciness.
                ",40,1000ml,famous grouse,No,Scotland,,,,famous grouse,famous grouse,
193,Famous Grouse Ruby Cask 1L,84.95,https://www.paneco.com.sg/products/famous-grouse-ruby-cask-1l,"
                  Original Famous blend rested in specially selected casks, seasoned with port. The classic smoothness of The Famous Grouse – but with a layer of rich fruitcake sweetness. Smooth & Rich - The only affordable Everyday-Premium blend with a port cask finish.
                ",40,1000ml,famous grouse,No,Ireland,,,,famous grouse,famous grouse,
194,Famous Grouse Smoky Black Whisky 1L,78.9,https://www.paneco.com.sg/products/famous-grouse-smoky-black-whisky-1l,"
                  The Famous Grouse Smoky Black (previously The Black Grouse is a dark, handsome Grouse, that has been expertly blended using a peated malt to produce a deliciously smoky yet sweet whisky. Smooth, peaty and aromatic, this is a complex yet approachable blend with hints of dried fruit and soft smoky notes.
                ",40,1000ml,famous grouse,No,Scotland,,,,famous grouse,famous grouse,
195,Famous Grouse The Snow Grouse Whisky 700ml,58,https://www.paneco.com.sg/products/famous-grouse-the-snow-grouse-whisky-700ml,"
                  The Snow Grouse whisky is unlike any other. Blended from the finest grain whiskies and matured in oak casks to deliver very light flavours on both the nose and palate. The Snow Grouse is the first Scotch whisky that is perfectly at home in severely cold conditions and is designed to be served seriously chilled straight from the freezer. Clear and bright straw-colored, The Snow Grouse offers aromas of soft creamy vanilla, cloudy honey, and nutmeg, lightly oaky with hints of smooth and sweet vanilla fudge and a sweet and lingering finish.
                ",40,700ml,famous grouse,No,Scotland,,,,famous grouse,famous grouse,
196,Famous Grouse Toasted Cask 1L,79.5,https://www.paneco.com.sg/products/famous-grouse-toasted-cask-1l,"
Famous Grouse Toasted Cask is a blended Scotch whiskey produced by Matthew Gloag & Sons Ltd. from Scotland. He created a whiskey called The Grouse Brand and his daughter Phillippa drew Scotland's national bird, the red grouse, which was the world famous label and trademark. It is aged in new, freshly toasted oak barrels.
                ",40,1000ml,famous grouse,No,Scotland,,,,famous grouse,famous grouse,
197,Festive Balvenie Scotch Set,141,https://www.paneco.com.sg/products/balvenie-12-plus-4-whisky-glasses,"
                  Great deal - Get classic scotch along with ""dancing"" whisky glasses. They are a great conversation piece and even better for drinking!
                ",,2 items,,,,,,,-,-,
198,Fireball Cinnamon Whisky 1L,68,https://www.paneco.com.sg/products/fireball-cinnamon-whisky-1l,"
One of the most successful liquor brands in history, Try the Apple Pie on the Rocks
Ingredients
1 oz . Fireball Whiskey
1 oz . Absolut Vanilia 
4 oz . Apple Juice
Pinch of Ground Cinnamon
Brown Sugar for the rim Grind a little finer for more successful sugaring
Optional: Cinnamon Stick for Garnish
IceInstructions
Wet the rim of your rocks glass then gently sugar the rim with the brown sugar.
In a martini shaker, pour the vodka, Fireball, apple juice and ground cinnamon together with a handful of ice cubes.
Shake 10 times and pour the contents into the glass without wiping off the sugar rim.
Serve chilled and with a cinnamon stick, for garnish.
                ",33,1000ml,fireball whisky,No,Canada,,,,-,-,fireball whisky
199,Glen Deveron 16 Year Old 1L w/Gift Box,124.95,https://www.paneco.com.sg/products/glen-deveron-16-year-single-malt-1l-w-gift-box,"
Glen Deveron 16 Year Old is the youngest of the bunch and combines the sweet sherried flavours from the casks with a nice malted taste.Combined with the oak, there is an excellent muted quality to Glen Deveron 16 that is enhanced by the creamy sweetness.The finish really brings out the oak notes, with a hint of vanilla. It is a medium length with a great combination of all the flavours.
                ",40,1000ml,the deveron,Yes,Scotland,,,16 Year,-,-,the deveron
200,Glen Deveron 20 Year Old 1L w/Gift Box,159.95,https://www.paneco.com.sg/products/glen-deveron-20-year-single-malt-1l-w-gift-box,"
                  Glen Deveron 20 Year is a bold expression with a deep gold color has notes of fine toasted cereals, roasted hazelnuts and exotic fruits making it a rich, fruity malt with a refined and long-lingering finish.
                ",40,1000ml,the deveron,Yes,Scotland,,,20 Year,-,-,the deveron
201,Glen Grant 10 Year 1L w/Gift Box,98.95,https://www.paneco.com.sg/products/glen-grant-10-year-single-malt-1l-w-gift-box,"
Our 10 Year Old single malt brings an added intensity to Glen Grant’s familiar orchard fruits.Rich in colour, it lingers in the mouth with a soft, almond finish. Gentle, elegant Speyside Single Malt with hints of hazelnut
                ",40,1000ml,glen grant,Yes,Scotland,,,10 Year,-,-,glen grant
202,Glen Grant 12 Year 700ml w/Gift Box,97.95,https://www.paneco.com.sg/products/glen-grant-12-year-single-malt-700ml-w-gift-box,"
                  Glen Grant 12 Year is a bright, golden colour and pleasant aromas of orchard fruit, almond and citrus, this exceptional whisky delights the palate with exquisite and delicate notes of apple pie crust and caramel, and finishes with lingering fruit and subtle hints of spice. 
                ",43,700ml,glen grant,Yes,Scotland,,,12 Year,-,-,glen grant
203,Glen Grant 12 Year Single Malt 1L w/Gift Box,116.5,https://www.paneco.com.sg/products/glen-grant-12-year-single-malt-1l-w-gift-box,"
                  Glen Grant 12 Year is a bright, golden colour and pleasant aromas of orchard fruit, almond and citrus, this exceptional whisky delights the palate with exquisite and delicate notes of apple pie crust and caramel, and finishes with lingering fruit and subtle hints of spice.
                ",48,1000ml,glen grant,Yes,Scotland,,,12 Year,-,-,glen grant
204,Glen Grant 15 Year Single Malt 1L w/Gift Box,141.5,https://www.paneco.com.sg/products/glen-grant-15-year-single-malt-1l-w-gift-box,"
                  Glen Grant 15 year is produced using malted barley, spring water and selectyeast through the processes of milling, mashing, fermentation, double pot distillation and maturation in oak exbourbon barrels cask for at least 15 years.
                ",50,1000ml,glen grant,Yes,Scotland,,,15 Year,-,-,glen grant
205,Glen Grant 18 Year 700ml Gift Pack with 2 Glasses,217.95,https://www.paneco.com.sg/products/glen-grant-18-year-single-malt-700ml-gift-pack-with-2-glasses,"
 Glen Grant 18 Year is matured for at least 18 years in the highest quality, handpicked oak casks, which creates a radiant golden colour and seductive floral and oaky aroma.Deeply layered and complex, this rich and vibrant whisky delivers beautifully intricate flavours of malted caramel, vanilla, and raisins and lingers with a long, sweet, and pleasantly spicy finish. 
                ",43,700ml,glen grant,No,Scotland,,,18 Year,-,-,glen grant
206,Glen Moray 12 Year Single Malt 700ml w/Gift Box,89.9,https://www.paneco.com.sg/products/glen-moray-12-year-single-malt-700ml-w-gift-box,"
                  Matured in the finest American oak, there's a hint of toastiness to this elegant malt, a wonderfully balanced whisky with a hint of sweetness. A sublime marriage of summer fruits and mellow vanilla, it's intended to be savoured and enjoyed.
                ",40,700ml,glen moray,Yes,Scotland,,,12 Year,-,-,glen moray
207,Glen Moray 15 Year Single Malt 700ml w/Gift Box,112,https://www.paneco.com.sg/products/glen-moray-15-year-single-malt-700ml-w-gift-box,"
                  Glen Moray 15 Year Old marries two very different single malts in one outstanding dram. After spending its whole life in American oak, one of these whiskies embodied Glen Moray's classic style. The other, aged entirely in Oloroso sherry casks from Jerez, in Spain, resounded with rich spice.
                ",40,700ml,glen moray,Yes,Scotland,,,15 Year,-,-,glen moray
208,Glen Moray 18 Year Single Malt 700ml w/Gift box,153.5,https://www.paneco.com.sg/products/glen-moray-18-year-single-malt-700ml-w-gift-box,"
Glen Moray 18 Year is overflowing with spice, oaky intensity and caramelised fruit, this single malt whisky is the pride and joy of our Heritage Collection. Aged entirely in first-fill American oak casks over 18 long years for a rare intensity, it is the ultimate reflection of our traditional Speyside craft. Closely watched over the years by our Master Distiller, this complex, elegant expression is bottled only when it achieves its peak. 
                ",47.2,700ml,glen moray,Yes,Scotland,,,18 Year,-,-,glen moray
209,Glen Moray 21 Year Single Malt 700ml w/Gift Box,259.65,https://www.paneco.com.sg/products/glen-moray-21-year-single-malt-700ml-w-gift-box,"
                  Glen Moray 21 year is distilled at Glen Moray and aged for more than two decades in ex-bourbon barrels before being finished in port pipes from the Douro Valley. 
                ",46.3,700ml,glen moray,Yes,Scotland,,,21 Year,-,-,glen moray
210,Glen Moray Cabernet Cask Finish Single Malt 700ml w/Gift Box,68.95,https://www.paneco.com.sg/products/glen-moray-cabernet-cask-finish-single-malt-700ml-w-gift-box,"
Glen Moray Cabernet Cask Finish is a sweet and full-bodied single malt to be finished in Cabernet Sauvignon red wine casks. Its unique character is testament to our long-held passion for bringing new flavours to Glen Moray by innovating with different styles of cask. It is first matured in American oak until our Master Distiller believes it is ready for more. Then exclusively finished in European red wine casks for several months, becoming rich with dark chocolate and intense spice. The rare union of oak and red wine flavours creates a beautifully rounded whisky with a distinctive edge. It is a delight for single malt lovers and whisky newcomers alike.
                ",40,700ml,glen moray,Yes,Scotland,,,,-,-,glen moray
211,Glen Moray Classic Peated 700ml Gift Pack with 2 Glasses,71.5,https://www.paneco.com.sg/products/glen-moray-classic-peated-single-malt-700ml-gift-pack-with-2-glasses,"
Glen Moray Classic Peated is balancing smoky intensity with our classic Speyside smoothness, this dram is a fascinating introduction to peated whiskies. It begins with barley which, unusually for Glen Moray, is dried in a peat-fired kiln, for hints of smoke. Uniting this peated barley with our traditional malted barley, our craftsmen distil a lightly peated spirit threaded with distinctive campfire notes. Aged in American oak casks for undertones of vanilla and oak, this smoky single malt reveals a new dimension to Glen Moray, intriguing long-time whisky fans and those new to single malt.
                ",40,700ml,glen moray,No,Scotland,,,,-,-,glen moray
